Name,Due Date,Link to search,Status,Industry,Company Size,Titles,Regions,,,,,,,,
Cliniops 2,12 Feb 2026,https://docs.google.com/spreadsheets/d/1l3j1AFfh0Eo_Adk3gT-xcNJZzJSce7l9BpTOCKDbXVY/edit?gid=0#gid=0,Done,"Pharma, Biotech",51 to 500 employees,"CEO, Founder, Co-founder, Managing Director, Owner, Director of Clinical Data Management, Head of Clinical Data Management, 
VP of Clinical Data Management, Head of Clinical Operations, VP of Clinical Operations, Director of Clinical Operations","Bengaluru, Chennai, Hyderabad",,,,,,,,
Cliniops 3,12 Feb 2026,https://docs.google.com/spreadsheets/d/1l3j1AFfh0Eo_Adk3gT-xcNJZzJSce7l9BpTOCKDbXVY/edit?gid=0#gid=0,Done,"Pharma, Biotech",51 to 500 employees,"CEO, Founder, Co-founder, Managing Director, Owner, Director of Clinical Data Management, Head of Clinical Data Management, 
VP of Clinical Data Management, Head of Clinical Operations, VP of Clinical Operations, Director of Clinical Operations","Bengaluru, Chennai, Hyderabad",,,,,,,,
Cliniops,12 Feb 2026,https://docs.google.com/spreadsheets/d/1l3j1AFfh0Eo_Adk3gT-xcNJZzJSce7l9BpTOCKDbXVY/edit?gid=0#gid=0,Done,"Pharma, Biotech",51 to 500 employees,"CEO, Founder, Co-founder, Managing Director, Owner, Director of Clinical Data Management, Head of Clinical Data Management, 
VP of Clinical Data Management, Head of Clinical Operations, VP of Clinical Operations, Director of Clinical Operations","Bengaluru, Chennai, Hyderabad",,,,,,,,
Algorysis,12 Feb 2026,,Done,Finance,51 to 200,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, Director of Operations, VP of Operations, CTO, Head of IT, VP of IT, Director of IT, CIO, Head of Analytics, Director of Analytics, VP of Analytics",India,,,,,,,,
Speedexam,12 Feb 2026,,Done,"Education, Higher Education 
Keywords - Medical Colleges, Medical Institutes",11 to 500,"CEO, Founder, Co-founder, Managing Director, Executive Director, Principle, Dean, Head of Department, Head of Operations, Director of Operations, VP of Operations, Academic Head, Director of Academy, CHRO, Learning and Development Officer, Director of Human resource, Head of Human resource, VP of Human resource, VP of Recruitment, Head of Recruitment, Director of Recruitment Head of IT, Director of IT, VP of IT, CTO",India,,,,,,,,
Veegent,12 Feb 2026,,Done,FMCG,11 to 50,"CEO, Founder, Co-Founder, MD, Executive Director, CISO, COO, CIO, Head of Information Security, VP of Information Security, Director of Information Security, Head of IT, VP of IT, Director of IT","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Ahmedabad, Gurgaon",,,,,,,,
Divinisoft,12 Feb 2026,,Done,Finance,11 to 200,"CEO, Founder, Co-Founder, COO, Executive Director, CTO, VP of Engineering, Director of Engineering, Head of Engineering, Head of Operations, VP of Operations, Director of Operations, CIO",United Arab Emirates,,,,,,,,
Dezy IT (Us),12 Feb 2026,Check  with me while creating link,Done,"Healthcare (Aesthetic Clinic Chains - Dermatology, Dentistry, Plastic Surgery & Med Spa Chains)",11 to 200 employees,"Chief Medical Officer, Chief Information Officer, COO, Founder, CEO, Co-Founder, Owner, Director of Patient Experience, Head of Operations, Vp of Operations, Director of Operations, Head of Administration, VP of Administration, Dircetor of Administration, Chief Administration Officer",Saudi Arabia,,,,,,,,
Examonline,12 Feb 2026,,Done,Education,11 to 200,"CEO, Founder, Co-founder, Managing Director, Executive Director, Principle, Dean, Head of Department, Head of Operations, Director of Operations, VP of Operations, Academic Head, Director of Academy, CHRO, Learning and Development Officer, Director of Human resource, Head of Human resource, VP of Human resource, VP of Recruitment, Head of Recruitment, Director of Recruitment Head of IT, Director of IT, VP of IT, CTO",India,,,,,,,,
Cliqvenus,12 Feb 2026,,Done,"Financial Services, Manufacturing",51 to 250 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Data, Chief Data Officer","Houston, Chicago, North Carolina",,,,,,,,
Connocare Hr,12 Feb 2026,Radhe,Done,"Aerospace and Aviation, Healthcare, Oil & Energy, Education",11 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of HR, VP of HR, Director of HR, CHRO, Head of Recruitment, VP of Recruitment, Director of Recruitment, Head of Learning, VP of Learning, Director of Learning","HQ - Qatar
Person - Qatar",,,,,,,,
Ecocare,12 Feb 2026,,Done,FMCG,11 to 500,"CEO, COO, Head of Production, VP of Production, Director of Production, Head of QA, VP of QA, Director of QA, Head of Maintenance, VP of Maintenance,
Director of Maintenance, Head of Facilities, VP of Facilities
, Director of Facilities, Head of Sanitation, VP of Sanitation, Director of Sanitation, Founder, Co-Founder, MD, Executive Director","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Automation Teknix,12 Feb 2026,Radhe - Client list,Done,,,,,,,,,,,,
Curota.ai,12 Feb 2026,,Done,"Automotive, Hospital & Healthcare",Recently Funded Startups,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Data, VP of Data, Director of Data, Head of IT, VP of IT, Director of IT, CIO, CTO, Data Manager, IT Manager","Dallas, San Francisco, Finland, Germany",,,,,,,,
Curota.ai,17 Feb 2026,,Done,"Automotive, Hospital & Healthcare",Recently Funded Startups,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Data, VP of Data, Director of Data, Head of IT, VP of IT, Director of IT, CIO, CTO, Data Manager, IT Manager","Dallas, San Francisco, Finland, Germany",,,,,,,,
New item,,,,,,,,,,,,,,,
Philip capital,13 Feb 2026,,Done,IT services,11 to 500,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments","Mumbai, Navi Mumbai, Thane",,,,,,,,
The Ally,13 Feb 2026,check with me,Done,Education,51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
New item,,,,,,,,,,,,,,,
Radiant cash,13 Feb 2026,,Done,"Finance, Logistics",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller","Mumbai, Hyderabad, Chennai, Gurugram, Bengaluru, Delhi, Kolkata, Ahmedabad, Pune, New Delhi, Noida",,,,,,,,
Radiant cash,16 Feb 2026,,Done,"Finance, Logistics",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller","Mumbai, Hyderabad, Chennai, Gurugram, Bengaluru, Delhi, Kolkata, Ahmedabad, Pune, New Delhi, Noida",,,,,,,,
Thrise,13 Feb 2026,,Done,"Retail, Apparel and fashion",11 to 500,"CEO, Founder, Co-Founder, MD, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Innowerx,13 Feb 2026,,Done,"Oil & Gas, Power Generation",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, COO, Head of Operations, VP of Operations, Director of Operations","US, Canada",,,,,,,,
Ibyte,13 Feb 2026,,Done,"Financial Services, Logistics & Supply Chain",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","South Africa, Nigeria, Kenya",,,,,,,,
Tie Ecocsystem,13 Feb 2026,,Done,,,,,,,,,,,,
Infosys,13 Feb 2026,,Done,,,,,,,,,,,,
All 118799  Trash 1 Divya - IT Bangalore,13 Feb 2026,,Done,IT Services,51-500,"CEO
Founder
Co-Founder
MD
Executive Director
CMO
Head of Marketing
VP of Marketing
Director of Marketing
Head of Growth
VP of Growth
Director of Growth
Chief Growth Officer
Head of Business Development
VP of Business Development
Director of Business Development
Chief Business Officer
Head of Sales
VP of Sales
Director of Sales
Chief Sales Officer
India Head
President
Country Head
Chief Business Development Officer
Chief Financial Officer",UAE,,,,,,,,
Pratiti,13 Feb 2026,,Done,"Electrical & Electronics Manufacturing, Food Production",200 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, CTO, Head of Operations, VP of Operations, Director of Operations, Head of Technology, VP of Technology, VP of Technology","UAE, Saudi Arabia, Qatar, Oman, Turkey, Mumbai (Low Priority), Pune (Low Priority)",,,,,,,,
Internal - Pratik,13 Feb 2026,,Done,IT Services,51-500,"CEO
Founder
Co-Founder
MD
Executive Director
CMO
Head of Marketing
VP of Marketing
Director of Marketing
Head of Growth
VP of Growth
Director of Growth
Chief Growth Officer
Head of Business Development
VP of Business Development
Director of Business Development
Chief Business Officer
Head of Sales
VP of Sales
Director of Sales
Chief Sales Officer
India Head
President
Country Head
Chief Business Development Officer
Chief Financial Officer",UAE,,,,,,,,
ACe technology,13 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
India International,13 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
IITR,13 Feb 2026,,Done,Manufacturing,11 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, CHRO, Head of HR, VP of HR, Director of HR","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
astravise,13 Feb 2026,,Done,"CFO Services - IT Services, Healthcare, Pharma",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Finance, VP of Finance, Director of Finance, CFO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram, UAE, Saudi Arabia",,,,,,,,
Claw legaltech,13 Feb 2026,,Done,"Legal, law",11 to 200,"CEO, Founder, Co-Founder, MD, Executive Director, Partner",India,,,,,,,,
Zogato,13 Feb 2026,,Done,"Process Automation Campaign - Logistics & Supply Chain, Warehousing, Retail",200 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Emboss Marketing,13 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Shree ganesh,13 Feb 2026,shared on chat,Done,Automative,51-5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Skmc,13 Feb 2026,shered  on  chat,Done,,,,,,,,,,,,
KRR,13 Feb 2026,,Done,"pharma, chemical,Oil&energy",51 - 5000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Axitrust,13 Feb 2026,,Done,,,,,,,,,,,,
Linkworks,13 Feb 2026,,Done,"Logistics & Supply Chain, Transportation",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Supply Chain, VP of Supply Chain, Director of Supply Chain, Chief Supply Chain Officer, COO","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Noida, Delhi",,,,,,,,
Infinite Solutions,16 Feb 2026,Share on chat,Done,,,,,,,,,,,,
vastpro,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Dhristhi Technologies (new project,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
vesto,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
TCB,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Qubbit,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Mtreee,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
RJMD,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Sawai,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Sawai,17 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
GSSPEC,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Frontial,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
maven,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Algorisys,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Algorisys,17 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Riskpro,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Mercury Air-Conditi,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Nixisoft,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
UMU,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Veract (new projcet),13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Durvaaha,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Durvaaha,17 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Infinite Sol,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Pravaah,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Edreumz,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
weeloy,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
solveease,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Falcron,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
vikas lab,13 Feb 2026,,Done,,,,,,,,,,,,
astravise,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Curota,13 Feb 2026,,Done,,,,,,,,,,,,
Anlight,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Nuest,13 Feb 2026,,Done,,,,,,,,,,,,
shree  ganesh,13 Feb 2026,,Done,,,,,,,,,,,,
Verifygntech,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Krinati sol,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
Gumtree,13 Feb 2026,,Done,,,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",,,,,,,,,
onecrop,13 Feb 2026,,Done,,,,,,,,,,,,
Pratik - Internal,16 Feb 2026,,Done,Manufacturing,11-500,"CEO
Founder
Co-Founder
MD
Executive Director
CMO
Head of Marketing
VP of Marketing
Director of Marketing
Head of Growth
VP of Growth
Director of Growth
Chief Growth Officer
Head of Business Development
VP of Business Development
Director of Business Development
Chief Business Officer
Head of Sales
VP of Sales
Director of Sales
Chief Sales Officer
India Head
President
Country Head
Chief Business Development Officer
Chief Financial Officer",Saudi Arabia,,,,,,,,
Pratik - Internal,16 Feb 2026,,Done,IT Services,11-500,"CEO
Founder
Co-Founder
MD
Executive Director
CMO
Head of Marketing
VP of Marketing
Director of Marketing
Head of Growth
VP of Growth
Director of Growth
Chief Growth Officer
Head of Business Development
VP of Business Development
Director of Business Development
Chief Business Officer
Head of Sales
VP of Sales
Director of Sales
Chief Sales Officer
India Head
President
Country Head
Chief Business Development Officer
Chief Financial Officer",Czech Republic,,,,,,,,
Pratik - Internal,16 Feb 2026,,Done,Legal/Accounting,11-500,"CEO
Founder
Co-Founder
MD
Executive Director
CMO
Head of Marketing
VP of Marketing
Director of Marketing
Head of Growth
VP of Growth
Director of Growth
Chief Growth Officer
Head of Business Development
VP of Business Development
Director of Business Development
Chief Business Officer
Head of Sales
VP of Sales
Director of Sales
Chief Sales Officer
India Head
President
Country Head
Chief Business Development Officer
Chief Financial Officer",Czech Republic,,,,,,,,
Axitrust,16 Feb 2026,Client list,Done,,,,,,,,,,,,
Vikaslab,16 Feb 2026,Retarget,Done,,,,,,,,,,,,
Ecorework,16 Feb 2026,VALID list of comapnies,Done,,,,,,,,,,,,
Studioblo,16 Feb 2026,,Done,"Retail, Apparel and Fashion, Cosmetics",200 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer, Head of Branding, VP of Branding, Director of Branding, Chief Branding Officer","Dallas, New York,",,,,,,,,
Maven,16 Feb 2026,,Done,Medical Devices,11 to 200,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Chief Compliance Officer, Head of Compliance, VP of Compliance, Director of Compliance, Head of QA, VP of QA, Director of QA, Head of Regulatory, VP of Regulatory, Director of Regulatory","United Kingdom, Czechia",,,,,,,,
Vinay Ent,16 Feb 2026,,Done,"Investment Management, Financial Services",500 to 1000 employees,"COO, Head of Administration, VP of Administration, Director of Administration, Head of Facilities, VP of Facilities, Director of Facilities, Head of IT, VP of IT, Director of IT, CIO, CTO",India,,,,,,,,
Edreamz,16 Feb 2026,,Done,"Retail, Apparel & Fashion, Consumer Goods, Financial Services",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, COO, Head of Operations, VP of Operations, Director of Operations","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
KFL,16 Feb 2026,Retarget,Done,,,,,,,,,,,,
Sancraft,16 Feb 2026,,Done,"Electrical & Electronic Manufacturing, Machinery, Mechanical & Industrial Engineering",500 to 1000 Employees,"CEO, Founder, Co-founder, Owner, Managing Director, Executive Director, Head of Operations, VP of operations, Director of operations, Head of Sourcing, VP of Sourcing, Director of Sourcing, Head of Purchase, VP of Purchase, Director of Purchase, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head","Malaysia, Singapore, Vietnam",,,,,,,,
Nhancesmart,16 Feb 2026,,Done,IT Services,200 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Compliance, VP of Compliance, Director of Compliance, CHRO, COO, Chief Compliance Officer","Bengaluru, Chennai, hyderabad, Kochi",,,,,,,,
Aliter,16 Feb 2026,,Done,"Electrical & Electronic Manufacturing, Machinery, Mechanical & Industrial Engineering, Pharma, Chemical, Automotive",11 to 1000,"CEO, Founder, Cofounder, Managing Director, Executive Director, Head of Technology, VP of Technology, Director of Technology, CTO, CIO, Head of IOT, VP of IOT, Director of IOT, COO, Head of Operations, VP of Operations, Director of Operations","Maharashtra, Gujarat",,,,,,,,
Sankhyana,16 Feb 2026,,Done,"Pharmaceutical, Hospital & Healthcare",1000 to 5000 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of HR, VP of HR, Director of HR, Head of Recruitment, VP of Recruitment, Director of Recruitment, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, CHRO, India Head, Head of Operations, VP of Operations, Director of Operations, COO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Kandisa,16 Feb 2026,,Done,IT Services,51 to 200 employees,"Founder, Co-founder, CEO, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Customer Success, VP of Customer Success, Director of Customer Success, Chief Revenue Officer","Mumbai, Hyderabad, Chennai, Gurugram, Bengaluru, Delhi, Kolkata, Ahmedabad, Pune, New Delhi, Noida",,,,,,,,
Veract,16 Feb 2026,Radhe,Done,"Electrical & Electronic Manufacturing, Machinery, Mechanical & Industrial Engineering, Pharma, Chemical, Automotive",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","United Arab Emirates, Saudi Arabia, Qatar, Kuwait, Finland, Czech Republic",,,,,,,,
Gumtree,16 Feb 2026,Radhe,Done,"Restaurants, Hospitality",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Mercury Air Conditioner,16 Feb 2026,Radhe,Done,"Hospitality, Education, Hospitals",51 to 200 employees,"Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, COO, Head of Operations, VP of Operations, Director of Operations",Mumbai,,,,,,,,
Black or Grey,16 Feb 2026,Radhe,Done,"Luxury Goods, Cosmetics",51 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer, Creative Director","United Kingdom, San Francisco, Los Angeles",,,,,,,,
